id,left,top,right,bottom,mas_Premonsoon,mas_Postmonsoon,sph_Premonsoon,sph_Postmonsoon,mas_premon,mas_postmon
471,77,14.5,77.25,14.25,-93.2151,222.924,-69.2372,50.0933,-96.7993,85.2074
470,77,14.75,77.25,14.5,-98.751,217.47,-75.9814,50.8323,-99.4009,94.6574
469,77,15,77.25,14.75,-114.786,231.197,-76.6567,51.5106,-106.469,102.672
468,77,15.25,77.25,15,-120.975,241.126,-79.6662,60.2016,-110.061,105.205
467,77,15.5,77.25,15.25,-120.46,241.461,-80.1754,72.3646,-122.343,106.726
466,77,15.75,77.25,15.5,-116.18,247.209,-86.7533,69.6327,-114.582,76.9586
465,77,16,77.25,15.75,-106.337,253.105,-93.0179,69.7584,-119.649,96.75
464,77,16.25,77.25,16,-114.75,243.374,-89.5352,71.3976,-125.045,95.8414
463,77,16.5,77.25,16.25,-141.624,238.791,-92.0327,72.469,-121.9,111.302
462,77,16.75,77.25,16.5,-125.207,238.228,-91.152,71.8823,-140.993,169.086
461,77,17,77.25,16.75,-125.889,233.66,-87.3061,75.6817,-152.706,164.534
460,77,17.25,77.25,17,-136.008,214.261,-93.7483,99.8671,-150.891,172.884
459,77,17.5,77.25,17.25,-129.417,211.139,-92.8001,98.1793,-97.9815,79.8154
458,77,17.75,77.25,17.5,-147.619,195.463,-88.111,97.4242,-92.6394,115.918
497,77.25,15,77.5,14.75,-115.654,250.429,-86.68740769,73.93856923,-95.2589,127.977
496,77.25,15.25,77.5,15,-127.052,265.016,-81.0982,44.6112,-110.677,116.682
495,77.25,15.5,77.5,15.25,-116.42,248.658,-75.799,60.0001,-123.869,110.906
494,77.25,15.75,77.5,15.5,-101.299,252.464,-80.5705,68.1618,-120.153,84.5077
493,77.25,16,77.5,15.75,-100.14,258.02,-87.3862,70.1436,-115.15,92.3505
492,77.25,16.25,77.5,16,-142.651,255.946,-96.4502,67.5809,-119.809,82.2232
491,77.25,16.5,77.5,16.25,-157.361,248.238,-92.5542,72.0363,-113.968,101.294
490,77.25,16.75,77.5,16.5,-136.21,241.312,-90.7001,76.5798,-138.37,163.815
489,77.25,17,77.5,16.75,-132.738,243.263,-91.2783,76.4646,-141.344,164.833
488,77.25,17.25,77.5,17,-125.093,230.808,-87.5148,79.2046,-152.918,156.401
487,77.25,17.5,77.5,17.25,-119.694,214.058,-95.3134,99.2611,-101.056,126.095
486,77.25,17.75,77.5,17.5,-139.109,205.848,-96.1214,92.9227,-107.525,123.042
523,77.5,15.5,77.75,15.25,-120.631,248.808,-93.2912,99.4148,-125.289,114.484
522,77.5,15.75,77.75,15.5,-120.502,249.094,-84.1412,72.9522,-124.12,98.2297
